"Time","Method","AccuracyTarget(bits)","Accuracy(bits)","Bench","BenchParams","UTime(s)","STime(s)","Mem(kB)"
"Fri  7 Jan 23:56:53 GMT 2022","E",,120,"csqrt0r",100,0.16,0.02,8720
"Fri  7 Jan 23:57:21 GMT 2022","E",,120,"csqrt0r",100,0.17,0.04,8952
"Fri  7 Jan 23:57:47 GMT 2022","E",,120,"csqrt0r",100,0.17,0.07,8844
"Fri  7 Jan 23:58:14 GMT 2022","E",,120,"csqrt0r",100,0.18,0.03,8964
"Fri  7 Jan 23:58:40 GMT 2022","E",,120,"csqrt0r",100,0.18,0.02,8644
"Fri  7 Jan 23:59:06 GMT 2022","E",,120,"csqrt0r",100,0.23,0.01,8912
"Fri  7 Jan 23:59:33 GMT 2022","E",,120,"csqrt0r",100,0.14,0.01,8848
"Fri  7 Jan 23:59:59 GMT 2022","E",,120,"csqrt0r",100,0.19,0.04,9008
"Sat  8 Jan 00:00:27 GMT 2022","E",,120,"csqrt0r",100,0.16,0.03,8852
"Sat  8 Jan 00:00:54 GMT 2022","E",,120,"csqrt0r",100,0.16,0.06,8584
"Fri  7 Jan 23:56:54 GMT 2022","E",,1230,"csqrt0r",1000,2.31,0.39,9268
"Fri  7 Jan 23:57:22 GMT 2022","E",,1230,"csqrt0r",1000,2.04,0.55,9344
"Fri  7 Jan 23:57:48 GMT 2022","E",,1230,"csqrt0r",1000,2.29,0.4,9292
"Fri  7 Jan 23:58:15 GMT 2022","E",,1230,"csqrt0r",1000,1.89,0.49,9276
"Fri  7 Jan 23:58:41 GMT 2022","E",,1230,"csqrt0r",1000,2.3,0.45,9316
"Fri  7 Jan 23:59:07 GMT 2022","E",,1230,"csqrt0r",1000,2.12,0.47,9176
"Fri  7 Jan 23:59:34 GMT 2022","E",,1230,"csqrt0r",1000,2.35,0.5,9108
"Sat  8 Jan 00:00:00 GMT 2022","E",,1230,"csqrt0r",1000,2.21,0.53,9208
"Sat  8 Jan 00:00:29 GMT 2022","E",,1230,"csqrt0r",1000,3.69,0.76,9276
"Sat  8 Jan 00:00:55 GMT 2022","E",,1230,"csqrt0r",1000,2.11,0.5,9196
"Fri  7 Jan 23:57:21 GMT 2022","E",,13540,"csqrt0r",10000,54.74,11.69,13364
"Fri  7 Jan 23:57:47 GMT 2022","E",,13540,"csqrt0r",10000,47.97,11.3,13292
"Fri  7 Jan 23:58:14 GMT 2022","E",,13540,"csqrt0r",10000,53.04,10.88,13300
"Fri  7 Jan 23:58:40 GMT 2022","E",,13540,"csqrt0r",10000,50.9,11.13,13344
